Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,10,0.0,0.0,20000.0,10,11717,11716,1,272925.125000,0.000004
2,10,0.0,0.0,20000.0,10,8609,8608,1,201321.984375,0.000005
3,10,0.0,0.0,20000.0,10,12632,12632,1,276470.031250,0.000004
4,10,0.0,0.0,20000.0,10,8678,8678,1,201214.375000,0.000005
5,10,0.0,0.0,20000.0,10,9482,9482,1,206156.968750,0.000005
6,10,0.0,0.0,20000.0,10,9966,9966,1,235969.187500,0.000004
7,10,0.0,0.0,20000.0,10,13544,13544,1,289797.093750,0.000003
8,10,0.0,0.0,20000.0,10,6004,6004,1,147285.578125,0.000007
9,10,0.0,0.0,20000.0,10,8248,8248,1,186675.609375,0.000005
10,10,0.0,0.0,20000.0,10,7921,7920,1,195813.625000,0.000005
